s,A(s) (GHz),B(s) (GHz),c (normalized)
0.448,0.29317810,2.24703400,0.43510360
0.449,0.28980640,2.25385000,0.43559170
0.450,0.28643460,2.26067600,0.43607990
0.451,0.28306290,2.26751200,0.43656800
0.452,0.27969110,2.27435900,0.43705620
0.453,0.27631930,2.28121500,0.43754430
0.454,0.27294760,2.28808300,0.43803250
0.455,0.26957580,2.29496000,0.43852060
0.456,0.26620410,2.30184800,0.43900880
0.457,0.26283230,2.30874600,0.43949690
0.458,0.25946060,2.31565400,0.43998510
0.459,0.25608880,2.32257300,0.44047320
0.460,0.25271710,2.32950200,0.44096140
0.461,0.24934530,2.33644200,0.44144950
0.462,0.24597360,2.34339100,0.44193770
0.463,0.24260180,2.35035100,0.44242580
0.464,0.23923010,2.35732200,0.44291400
0.465,0.23585830,2.36430200,0.44340210
0.466,0.23273560,2.37129300,0.44390140
0.467,0.22986020,2.37829500,0.44441180
0.468,0.22698470,2.38530600,0.44492220
0.469,0.22410930,2.39232800,0.44543260
0.470,0.22123380,2.39936100,0.44594300
0.471,0.21835840,2.40640300,0.44645330
0.472,0.21548290,2.41345600,0.44696370
0.473,0.21260750,2.42051900,0.44747410
0.474,0.20973200,2.42759300,0.44798450
0.475,0.20685660,2.43467700,0.44849490
0.476,0.20398110,2.44177100,0.44900520
0.477,0.20110570,2.44887600,0.44951560
0.478,0.19823020,2.45599000,0.45002600
0.479,0.19535480,2.46311600,0.45053640
0.480,0.19247930,2.47025100,0.45104680
0.481,0.18960390,2.47739700,0.45155710
0.482,0.18672840,2.48455300,0.45206750
0.483,0.18415370,2.49171900,0.45259500
0.484,0.18173370,2.49889600,0.45313130
0.485,0.17931370,2.50608300,0.45366750
0.486,0.17689370,2.51328100,0.45420380
0.487,0.17447370,2.52048800,0.45474000
0.488,0.17205370,2.52770600,0.45527630
0.489,0.16963370,2.53493500,0.45581260
0.490,0.16721370,2.54217400,0.45634880
0.491,0.16479370,2.54942300,0.45688510
0.492,0.16237370,2.55668200,0.45742130
0.493,0.15995370,2.56395200,0.45795760
0.494,0.15753370,2.57123200,0.45849390
0.495,0.15511370,2.57852200,0.45903010
0.496,0.15269370,2.58582200,0.45956640
0.497,0.15027370,2.59313300,0.46010260
0.498,0.14785370,2.60045500,0.46063890
0.499,0.14548430,2.60778600,0.46117820
0.501,0.14348240,2.61512800,0.46173930
0.502,0.14148040,2.62248000,0.46230040
0.503,0.13947840,2.62984300,0.46286160
0.504,0.13747640,2.63721600,0.46342270
0.505,0.13547440,2.64459900,0.46398380
0.506,0.13347240,2.65199200,0.46454490
0.507,0.13147040,2.65939600,0.46510600
0.508,0.12946840,2.66681000,0.46566720
0.509,0.12746640,2.67423500,0.46622830
0.510,0.12546440,2.68167000,0.46678940
0.511,0.12346240,2.68911500,0.46735050
0.512,0.12146050,2.69657000,0.46791170
0.513,0.11945850,2.70403600,0.46847280
0.514,0.11745650,2.71151200,0.46903390
0.515,0.11545450,2.71899800,0.46959500
0.516,0.11373690,2.72649500,0.47017720
0.517,0.11203410,2.73400200,0.47076060
0.518,0.11033130,2.74151900,0.47134390
0.519,0.10862850,2.74904700,0.47192720
0.520,0.10692570,2.75658500,0.47251050
0.521,0.10522290,2.76413300,0.47309380
0.522,0.10352020,2.77169200,0.47367710
